train_cross_entropy_mean,train_roc_auc_multiclass_mean,train_f1_mean,val_cross_entropy_mean,val_roc_auc_multiclass_mean,val_f1_mean,test_cross_entropy_mean,test_roc_auc_multiclass_mean,test_f1_mean,num_epochs_mean,train_cross_entropy_std,train_roc_auc_multiclass_std,train_f1_std,val_cross_entropy_std,val_roc_auc_multiclass_std,val_f1_std,test_cross_entropy_std,test_roc_auc_multiclass_std,test_f1_std,num_epochs_std,lags
1.014006118740991,0.6070672382645101,0.0,1.0483904548817211,0.5255034118213817,0.0,1.041760140284896,0.4965371231388551,0.0,20.5,0.014132543865116254,0.05002383383170619,0.0,0.0022298225680548963,0.010255535536369112,0.0,0.011740543812681298,0.01187691376111661,0.0,17.29306219268294,-1000
1.0108137011528013,0.622846741432374,0.0,1.0483290010028417,0.5259946633797413,0.0,1.0432252630591392,0.4954753909510125,0.0,24.1,0.011268670303499777,0.03828335265181932,0.0,0.0021475064639356945,0.00756143299804613,0.0,0.010662508419449651,0.023330061275330882,0.0,14.466858677681204,-800
1.02034699593749,0.5859984456630928,0.0,1.0492385768228107,0.5171250299026185,0.0,1.0419063709676266,0.5005093344393485,0.0,14.3,0.010464160988435221,0.04811761563742691,0.0,0.003324045262082179,0.007136577556473047,0.0,0.009833840075693196,0.02167435453335881,0.0,12.84562182223967,-600
1.0110100962291253,0.6220093882336617,0.0,1.0488371161950958,0.5276358087815991,0.0,1.0434558160603047,0.5054705811230553,0.0,25.2,0.011505364469195435,0.043113558996359526,0.0,0.0040449706150858964,0.0057663911453251894,0.0,0.009642418161788466,0.0211252452375836,0.0,15.904716281656833,-400
1.0172936217807165,0.6048841412226308,0.0,1.047171016037464,0.5352045908819043,0.0,1.0415348779410123,0.5071745760601206,0.0,16.9,0.010887187146287924,0.043627744389725186,0.0,0.0024090505806266616,0.004005428490212416,0.0,0.007950064316745912,0.02798920898876169,0.0,13.604778572251737,-200
1.0036226313247858,0.6446265153347476,0.0,1.0461342367861008,0.5423932946465218,0.0,1.0394964441657066,0.5252746263311858,0.0,25.2,0.012482052994833378,0.03330306851814126,0.0,0.002380622853240346,0.005972432010771587,0.0,0.010150500929091694,0.019735853677990692,0.0,14.386104406683556,0
1.0048823479180022,0.6448865048903005,0.0,1.0461265337136059,0.5427579657848638,0.0,1.0381392374634744,0.5333487719609471,0.0,16.7,0.009343059821457821,0.024211570397191767,0.0,0.0023911640576510388,0.004502504186198332,0.0,0.00895258926799365,0.024205471209278556,0.0,7.603288762108145,200
1.0035463376022944,0.6461809481686487,0.0,1.0456688614355192,0.5482988459069679,0.0,1.038615694269538,0.528723738312155,0.0,15.8,0.015603502141150284,0.048857944702987384,0.0,0.0018606271391594022,0.005804838137885689,0.0,0.009918893166439503,0.022013890505948066,0.0,8.1706792863262,400
1.0130807925607557,0.6104487807713783,0.0,1.0443684003419347,0.5448152922879836,0.0,1.0377684313803912,0.5298158181549358,0.0,13.9,0.012539858692051589,0.04185427529999692,0.0,0.0022506559626758334,0.0076842462117883295,0.0,0.0077893892924872365,0.023431596720081143,0.0,12.095040305844377,600
1.0057484883571342,0.633621476686588,0.0,1.0451047009891934,0.5454562098646221,0.0,1.0388386406004428,0.5108999203939824,0.0,23.7,0.010799878015219734,0.0276218584196848,0.0,0.002102714715348216,0.004848305437318382,0.0,0.01128607369071942,0.020274410337434025,0.0,13.842326394071193,800
