lags,train_cross_entropy_mean,train_cross_entropy_std,train_cross_entropy_fold_1,train_cross_entropy_fold_2,train_cross_entropy_fold_3,train_cross_entropy_fold_4,train_cross_entropy_fold_5,train_roc_auc_mean,train_roc_auc_std,train_roc_auc_fold_1,train_roc_auc_fold_2,train_roc_auc_fold_3,train_roc_auc_fold_4,train_roc_auc_fold_5,val_cross_entropy_mean,val_cross_entropy_std,val_cross_entropy_fold_1,val_cross_entropy_fold_2,val_cross_entropy_fold_3,val_cross_entropy_fold_4,val_cross_entropy_fold_5,val_roc_auc_mean,val_roc_auc_std,val_roc_auc_fold_1,val_roc_auc_fold_2,val_roc_auc_fold_3,val_roc_auc_fold_4,val_roc_auc_fold_5,test_cross_entropy_mean,test_cross_entropy_std,test_cross_entropy_fold_1,test_cross_entropy_fold_2,test_cross_entropy_fold_3,test_cross_entropy_fold_4,test_cross_entropy_fold_5,test_roc_auc_mean,test_roc_auc_std,test_roc_auc_fold_1,test_roc_auc_fold_2,test_roc_auc_fold_3,test_roc_auc_fold_4,test_roc_auc_fold_5,num_epochs_mean,num_epochs_std,num_epochs_fold_1,num_epochs_fold_2,num_epochs_fold_3,num_epochs_fold_4,num_epochs_fold_5
-2000,0.5261818766593933,0.0091407324453667,0.5115175247192383,0.5222124457359314,0.5255765914916992,0.5349273085594177,0.5366755127906799,0.8342394306924739,0.0106801102161027,0.8475577499559162,0.8250609208670002,0.8470251028616338,0.8267746187158728,0.8247787610619468,0.6918130397796631,0.0492702726601312,0.6873787641525269,0.6216292381286621,0.67626953125,0.6989055871963501,0.7748820781707764,0.6017709954165811,0.0590201929325081,0.516553480475382,0.6162988115449914,0.5946519524617997,0.5820833333333333,0.6992673992673993,0.6917526364326477,0.0626102376312341,0.6546463370323181,0.6021394729614258,0.7391688227653503,0.7803941369056702,0.6824144124984741,0.596330570997418,0.0639137849236348,0.5581494057724958,0.5170682730923695,0.6343283582089552,0.6996336996336997,0.5724731182795699,0.0,0.0,0,0,0,0,0
-1975,0.4765842258930206,0.0993067593091118,0.5130542516708374,0.2787649929523468,0.5199316740036011,0.5339356064796448,0.5372346043586731,0.8570937439158616,0.0522318456695035,0.846102980074061,0.958274550040614,0.8463316536452314,0.8198550178874033,0.8149045179319983,0.744713819026947,0.0729448731956689,0.6939446330070496,0.8795271515846252,0.6744828820228577,0.7174990773200989,0.7581153512001038,0.5921100735710244,0.0799236605604195,0.4876910016977928,0.5963497453310697,0.5823429541595926,0.5608333333333333,0.7333333333333334,0.7616601467132569,0.1252734639107694,0.6310732960700989,0.9969190955162048,0.7181386947631836,0.7650236487388611,0.6971459984779358,0.6118830080493766,0.0799459884776975,0.6065365025466893,0.4964859437751004,0.6533582089552239,0.7344322344322345,0.5686021505376344,0.0,0.0,0,0,0,0,0
-1950,0.5259278893470765,0.0088546500360679,0.5156844854354858,0.5148152112960815,0.5305274724960327,0.5332915186882019,0.5353207588195801,0.8326558920843317,0.0095136100712741,0.8459266443308059,0.837330597238254,0.8365771346678379,0.8219732630389758,0.8214718211457848,0.7045271515846252,0.048780138229764,0.7020229697227478,0.6330631971359253,0.6883994340896606,0.7144652009010315,0.784684956073761,0.5833583415735368,0.0649184575692818,0.4940577249575552,0.6014431239388793,0.5636672325976231,0.5645833333333333,0.6930402930402931,0.694760775566101,0.0655456465180263,0.6539985537528992,0.5998122096061707,0.7312134504318237,0.7920840978622437,0.6966955661773682,0.5938656938629665,0.0626734120167498,0.5759762308998302,0.5030120481927711,0.6294776119402985,0.6901098901098901,0.570752688172043,0.0,0.0,0,0,0,0,0
-1925,0.517936360836029,0.0075876431957573,0.511754035949707,0.5124412775039673,0.5111548900604248,0.5259225964546204,0.5284090042114258,0.8411816407612612,0.0112731729382133,0.846940574854523,0.8379718695224659,0.8599694882344784,0.8328939935981924,0.8281322775966464,0.7070879459381103,0.0359802410397972,0.6987119317054749,0.6525714993476868,0.6969009041786194,0.7255085706710815,0.7617468237876892,0.5744768994446414,0.0773614206831429,0.4915110356536503,0.5666383701188454,0.5466893039049237,0.5466666666666667,0.7208791208791209,0.6807624220848083,0.0693873823224966,0.6266284584999084,0.5768808126449585,0.7251462936401367,0.7686037421226501,0.7065528035163879,0.6087040007376849,0.0686006853240723,0.6001697792869269,0.5291164658634538,0.6447761194029851,0.7197802197802198,0.5496774193548386,0.0,0.0,0,0,0,0,0
-1900,0.52206392288208,0.0133694944808179,0.5069451332092285,0.5055621266365051,0.5264676809310913,0.5344356298446655,0.5369090437889099,0.835665294900641,0.0164682546450067,0.858049726679598,0.8478902141849428,0.8382414127872035,0.8190077198267746,0.8151374010246856,0.6967001080513,0.0451255391470088,0.6886379718780518,0.6322722434997559,0.677661657333374,0.7158707976341248,0.7690578699111938,0.6055996504909918,0.0684747868651712,0.5127334465195247,0.6196943972835314,0.6022920203735145,0.5716666666666668,0.7216117216117216,0.6864830613136291,0.0625830352930992,0.6486333012580872,0.5924261808395386,0.7171180844306946,0.777351975440979,0.6968857645988464,0.6101422138168996,0.0752401716204717,0.5755517826825127,0.5090361445783134,0.6723880597014925,0.7186813186813187,0.5750537634408602,0.0,0.0,0,0,0,0,0
-1875,0.5207935929298401,0.0107135413024346,0.5017954111099243,0.5222856402397156,0.5181475877761841,0.5302835702896118,0.5314557552337646,0.8387749335290646,0.0178132625597707,0.866205254805149,0.8280107733743748,0.8536359853913364,0.8234795707023159,0.8225430833721472,0.7219595193862915,0.0345179439686296,0.7189850807189941,0.6692999005317688,0.7076823115348816,0.7406681776046753,0.7731621265411377,0.5675584059404094,0.0700391107786722,0.49830220713073,0.5526315789473684,0.549660441426146,0.535,0.7021978021978023,0.6921166062355042,0.0748542055780039,0.6593119502067566,0.5635777115821838,0.7341612577438354,0.7794563174247742,0.7240757942199707,0.5980886813577222,0.0606706489067704,0.5573005093378607,0.5617469879518072,0.6373134328358209,0.6981684981684982,0.5359139784946236,0.0,0.0,0,0,0,0,0
-1850,0.4757440447807312,0.0915660410154766,0.5024675130844116,0.2938538193702698,0.5195451974868774,0.5300463438034058,0.5328073501586914,0.8607843671509444,0.046984957668303,0.8615764415447011,0.950109016288316,0.8458693541676299,0.8252212389380531,0.8211457848160224,0.7594412803649903,0.0800809727576263,0.7055805325508118,0.9135482907295228,0.6918992400169373,0.7304766774177551,0.7557016611099243,0.5835746857839388,0.0859502438449554,0.4910865874363327,0.5577249575551783,0.5704584040747029,0.5520833333333333,0.7465201465201465,0.7326205611228943,0.0631606892325973,0.645352303981781,0.8343575596809387,0.7100400328636169,0.7634851932525635,0.7098677158355713,0.6221340410262195,0.0752295709375748,0.5747028862478778,0.552710843373494,0.6828358208955223,0.7395604395604396,0.5608602150537635,0.0,0.0,0,0,0,0,0
-1825,0.5243312120437622,0.0130465605223975,0.5007519125938416,0.5206208229064941,0.5288082361221313,0.5350092649459839,0.5364658236503601,0.8354810708456857,0.0159944172097378,0.8647064009874802,0.833525715018597,0.8371318940409599,0.8213613255507438,0.8206800186306474,0.7143887877464294,0.0418282639445343,0.7155558466911316,0.6504023671150208,0.6989375948905945,0.7275383472442627,0.7795097827911377,0.5817431513025741,0.0646891208639863,0.5038200339558574,0.5887096774193549,0.5564516129032258,0.5608333333333334,0.698901098901099,0.6920647025108337,0.0754103852141038,0.6781877279281616,0.5590505003929138,0.7246432304382324,0.7876477837562561,0.7107942700386047,0.6029852052922985,0.0620461585259007,0.5326825127334465,0.5697791164658634,0.6541044776119402,0.6970695970695971,0.5612903225806452,0.0,0.0,0,0,0,0,0
-1800,0.424066436290741,0.1185229420607665,0.2718982100486755,0.5119065046310425,0.2863746285438537,0.5239982008934021,0.526154637336731,0.8861424742260727,0.0585723759712114,0.9571063304531828,0.8451113676200248,0.9583468170680968,0.8366126906420637,0.8335351653469958,0.8459675431251525,0.166928378935601,1.0872700214385986,0.656747043132782,1.0002949237823486,0.7334145307540894,0.7521111965179443,0.5609930067103243,0.0938244239812643,0.4558573853989813,0.5793718166383701,0.4953310696095075,0.5458333333333334,0.7285714285714286,0.7542572379112243,0.1241496428333441,0.916756808757782,0.5470802187919617,0.8329434990882874,0.7592461705207825,0.7152594923973083,0.6105275734778146,0.0657856094681918,0.5645161290322581,0.5687751004016064,0.6395522388059702,0.7271062271062272,0.5526881720430108,0.0,0.0,0,0,0,0,0
-1775,0.4827739059925079,0.0855062136036404,0.5016680955886841,0.3136279284954071,0.5264551639556885,0.534936785697937,0.537181556224823,0.8551498140083471,0.0455263403825527,0.8627667078116734,0.939805908255312,0.8384263325782443,0.8189606477122952,0.8157894736842106,0.7451681852340698,0.0594039026403536,0.6962424516677856,0.8535576462745667,0.6922473311424255,0.7234563827514648,0.7603371143341064,0.6020323637878817,0.0699543028584879,0.5140067911714771,0.6192699490662139,0.5823429541595926,0.5700000000000001,0.7245421245421245,0.746705174446106,0.0765318419730859,0.660602331161499,0.88323575258255,0.716320812702179,0.7691429853439331,0.7042239904403687,0.6160877198361614,0.0696445310669452,0.5547538200339559,0.5476907630522088,0.6787313432835821,0.719047619047619,0.5802150537634408,0.0,0.0,0,0,0,0,0
