train_mse_mean,train_nll_embedding_mean,train_cosine_sim_mean,val_mse_mean,val_nll_embedding_mean,val_cosine_sim_mean,test_mse_mean,test_nll_embedding_mean,test_cosine_sim_mean,num_epochs_mean,test_word_avg_auc_roc_mean,test_word_train_weighted_auc_roc_mean,test_word_test_weighted_auc_roc_mean,test_word_perplexity_mean,test_occurence_perplexity_mean,test_word_top_1_mean,test_occurence_top_1_mean,test_word_top_5_mean,test_occurence_top_5_mean,test_word_top_10_mean,test_occurence_top_10_mean,train_mse_std,train_nll_embedding_std,train_cosine_sim_std,val_mse_std,val_nll_embedding_std,val_cosine_sim_std,test_mse_std,test_nll_embedding_std,test_cosine_sim_std,num_epochs_std,test_word_avg_auc_roc_std,test_word_train_weighted_auc_roc_std,test_word_test_weighted_auc_roc_std,test_word_perplexity_std,test_occurence_perplexity_std,test_word_top_1_std,test_occurence_top_1_std,test_word_top_5_std,test_occurence_top_5_std,test_word_top_10_std,test_occurence_top_10_std,lags
0.3067267147536131,3.224187851443733,0.24538873138347855,0.3381242755687598,3.4085840463638304,0.007909568887429707,0.3398459710858085,3.406866577177337,0.004093196973994825,9.6,0.5182030810375853,0.5134519453277033,0.5119635357744701,439.35465345230097,1027.3205618539303,0.009344772845240757,0.0019472302312276701,0.026672640269153097,0.00642477996809869,0.04341722898093878,0.011292760827312372,0.01565422635431991,0.08494952792210882,0.08698859003893818,0.004196662475256824,0.0056637253387245914,0.0042038838882079484,0.0073936194612729215,0.005315268085216659,0.0057607952846961095,4.963869458396343,0.02231439213949404,0.01499465455279144,0.007252927779671722,10.949301454859947,1.3957339837186733,0.0035119105315516855,0.0015085871133124818,0.006892187366453135,0.0018037583997918215,0.008579866280365347,0.0025832054130279316,-1000
0.3182271430172871,3.3051241796041273,0.16451367945554332,0.3339304237654715,3.413161652738398,0.007421330009784663,0.33586345676219825,3.4082516381234833,-0.00028612494228802843,5.4,0.5211115604399239,0.518683056218672,0.5142768669488432,439.4257974656527,1027.271613919321,0.009540651438400539,0.0005842259006815969,0.024144215140619613,0.005062722826107547,0.0410829775061662,0.010514361272869869,0.005639475311151938,0.05399977114404763,0.054778211406962256,0.002807737831375084,0.003529008468793988,0.004302463806608278,0.0033906741910257336,0.0063176994237284425,0.004030400045068413,2.4166091947189146,0.01663914707373648,0.012851979204704045,0.009810401019024481,11.372795806709831,0.8479252705375844,0.00271293345757122,0.0004770184503959451,0.0025757182863628825,0.001986599413759178,0.0029202341194321823,0.0021699349807887455,-800
0.3105803726260195,3.2618567203738023,0.20611731286170248,0.33677808461767256,3.41251332543113,0.008969186125040957,0.33864356532241363,3.407757133426088,0.0013355163264680994,8.0,0.5187365572514977,0.5139386997110311,0.5143784952918948,440.14688344111835,1027.4075994009183,0.0077875948609337775,0.0005838470252596244,0.025115462284846117,0.0038938921493223816,0.04108127256676732,0.011682244761100101,0.016056792872546063,0.10847201780931605,0.11101290512959681,0.0063570912048646075,0.003043650527972277,0.004556252095181573,0.00932135234704256,0.003853052207776767,0.002560547806065926,5.692099788303083,0.015157140345301474,0.013822084560311278,0.011634039317532154,11.240672735461116,1.1554517112803382,0.0028199245120865196,0.0007783049220408718,0.005616180184452198,0.001376365030988197,0.005613056204038905,0.001231664734209741,-600
0.31230561991327815,3.2772861869064807,0.19157778521778887,0.33735289591731443,3.4097755316532017,0.008177788585255091,0.3388971503936883,3.402675932103938,0.008788414585940315,7.6,0.5237847053898248,0.5206596338320697,0.5183095068300518,438.77969036561245,1026.9891199314893,0.010320377056819947,0.0013626254551241009,0.031932567752397334,0.004672291703764884,0.04945612433175848,0.009928619870500381,0.017611274462687503,0.1264258688575703,0.12932021551514444,0.007391860052165551,0.005642436354957595,0.003878557003712703,0.009389920793217094,0.005500724410120597,0.00933405400231565,5.782732917920384,0.030570144318305747,0.021184761252042158,0.017824771979624267,11.557230723385771,1.6931670166090205,0.004294369332558421,0.0009921016967297566,0.0066484522622054475,0.001885593205065048,0.00633111445794408,0.00423480536769457,-400
0.3080377863854477,3.2291807231214853,0.24000162064414665,0.3392031658779491,3.4094085563312873,0.013342174763480824,0.3417730271816254,3.4067466580506527,0.002380592339305264,8.8,0.5139806365325439,0.5235498167058867,0.5167293718751319,439.2743323393437,1027.0707979691172,0.012264007971538878,0.0015575568597289524,0.035044082155346504,0.0054518278844733065,0.05178904974255416,0.013240180496251027,0.009656374790044171,0.06022441035721725,0.06194619121845042,0.004399300374897956,0.0014351354877639745,0.002098615300204898,0.0061259597478968844,0.004181093796511365,0.006347456389338563,3.4292856398964493,0.005263660669273512,0.016731339913671702,0.007776632401164543,10.850095167375418,0.710281166347701,0.006698067220049511,0.0009928447601809604,0.007942035179206828,0.0020052681371390633,0.009671747401039526,0.003972866501659561,-200
0.30905124926075495,3.2388511692125777,0.23096134645729954,0.33646596363096526,3.396511975201693,0.025557187191126023,0.3388167247627721,3.3955635200847283,0.015278675556747301,8.0,0.5547641362473696,0.5577683391822628,0.5521963760291934,437.5087566999397,1023.8812779616177,0.013823838083799667,0.0021419721981215355,0.03991452570480301,0.0068150216527303655,0.05919094942391991,0.01596599971963219,0.009915459417082627,0.06655864719683385,0.06604240214062967,0.004606278587209034,0.0037974660557213,0.0018125321740796775,0.005858654298317988,0.005871529484555087,0.006431422065814798,3.4641016151377544,0.01676630161961958,0.018769010067350683,0.013500856784990519,11.149269205770523,1.4889554885038077,0.002567967441346378,0.0007289615302548974,0.00625117212555336,0.0012331545250683009,0.0073297178423836875,0.0017000107252870319,0
0.30914800142504506,3.2502033012429465,0.21783142387098872,0.3357558391310952,3.392929071368593,0.030157831227971298,0.33866768425161187,3.3911454359690345,0.01824714788800162,7.6,0.549914202676923,0.5683637373721357,0.5650053176039489,438.4494802791488,1023.1738633996887,0.01518684241434574,0.001557935735150925,0.03855133193654594,0.008373146825592277,0.05743751397103118,0.015771636628160297,0.01698349179562954,0.10849317948246917,0.11151899121097633,0.005994490683976374,0.0027771326928738,0.0024728602887970547,0.007738738653577453,0.0068975575240243555,0.007321328067393184,5.748043145279966,0.015833046032323154,0.00972317830954749,0.009213820531053253,11.649529236618768,1.594728053712128,0.00494943025451519,0.0014573154378866374,0.002351870394966725,0.002796287478717274,0.005259583487607867,0.0016798152289658795,200
0.31996070361628975,3.3192761971778473,0.14823672888973322,0.332580447919441,3.3888619444587014,0.023461782679695526,0.3334287627176805,3.3888329910509514,0.022085372987908847,4.0,0.5548946272342082,0.5660419333644555,0.56642756512874,438.10092527163545,1023.6818449842061,0.014800389483933788,0.0017526777020447908,0.041480038948393375,0.00798442064264849,0.06153846153846153,0.01596884128529698,0.006867292659292418,0.051213886443247245,0.05318267048513072,0.003146883732759198,0.00399415138879184,0.0051036253813701625,0.005903658565391687,0.0022537133645055846,0.004637938449280497,2.280350850198276,0.013365097627142226,0.010047907397121171,0.00697108881118085,11.759930496175121,0.6556350395095223,0.00355903931499456,0.0012917720702455306,0.00963136359795773,0.0019859861786145215,0.00997565606610765,0.002795073046622653,400
0.3164245191923122,3.296799926659496,0.17198087598206765,0.3333112375302748,3.388243977228801,0.021160133716396308,0.3344537279822609,3.3924819910165036,0.01911824589708086,5.4,0.5435827302884867,0.5546307325428671,0.5507867853092909,438.020181446149,1024.345947353835,0.012463485881207402,0.0013631937682570595,0.032327166504381694,0.004868549172346641,0.05238558909444986,0.009931840311587146,0.01143338233306648,0.07724990074218588,0.07864818910090061,0.0052116351096765275,0.004921702302495336,0.005908189557347727,0.00657841688131083,0.0013772556000724197,0.0038787301932426393,3.9293765408777004,0.011350576592948077,0.012352834425049334,0.010315365949439735,11.965503355668691,0.5114012664130406,0.0036119254120723287,0.0009929930893072608,0.006014973792202726,0.0016293281918871969,0.006322369262219252,0.004825515752040454,600
0.3300900300753485,3.4062544001746424,0.05751838311216958,0.3314657370249431,3.396249421437581,0.016682240379635584,0.3331947281505122,3.398451290708599,0.005301277820641796,2.6,0.5218845808237427,0.5376908022899143,0.5301048686149129,438.7238524612714,1025.867799874602,0.016949004557265716,0.001753057316015344,0.033115434914235714,0.008180681065424569,0.05006026371782535,0.014997598941636247,0.011632519188062731,0.08988032317300945,0.09158027877744616,0.003585798100430406,0.005510177891163303,0.003950969602393745,0.006478466924760055,0.004435302764110005,0.005873323862117997,3.2000000000000006,0.015863397074557504,0.015521766190718845,0.017756547502323954,11.828220499240746,0.5584159050304679,0.008863445599628494,0.0007287595634674846,0.008875562212112754,0.0018056377516229422,0.007962355198137663,0.002506780358725458,800
