train_bce_mean,train_roc_auc_mean,train_f1_mean,val_bce_mean,val_roc_auc_mean,val_f1_mean,test_bce_mean,test_roc_auc_mean,test_f1_mean,num_epochs_mean,train_bce_std,train_roc_auc_std,train_f1_std,val_bce_std,val_roc_auc_std,val_f1_std,test_bce_std,test_roc_auc_std,test_f1_std,num_epochs_std,lags
0.43112458428977246,0.8270054717653267,0.762981318239545,0.9659346128503483,0.5316632902725333,0.5222970163260802,0.9735262304544449,0.5230120557113229,0.5166893830705279,47.8,0.18128337718418255,0.16843627678787468,0.14368793817582248,0.20607565349069626,0.01165399179723534,0.01672807499103492,0.21725611893695293,0.02955628374574507,0.03177950287733112,42.71955055943356,-1000
0.6115058452587261,0.6513643216563179,0.6158085723198125,0.795339947938919,0.5175025901333278,0.5029399450092249,0.8002776108682156,0.5061110376187501,0.5017289470671178,13.6,0.14490355995389767,0.15595580691766217,0.12717682816536513,0.14892744108140427,0.005928824034687779,0.016000388221716757,0.15716754440939454,0.0258939246435222,0.02329976842117555,19.96597105076535,-800
0.44205154271918196,0.8350913385735728,0.7725835562865313,0.9448229359255897,0.5359415831832294,0.5273477653633146,0.9722596500068903,0.513510932191372,0.5108217142855912,46.3,0.17660708912338094,0.12223576373232323,0.11492083637896437,0.226034888079708,0.011634251190972063,0.01254757491670019,0.25245670385863456,0.0179917164040864,0.022088575653965912,48.195539212669885,-600
0.4362852874064,0.8407381604075012,0.7738586249228698,0.9297677505347464,0.5470626253635433,0.5274372129189382,0.9656498480588198,0.5210954208259164,0.5053064382286065,41.2,0.16348516250432965,0.12823176503939737,0.11359990843667081,0.18083840984803318,0.012278255238966924,0.016975214923615718,0.20738592173912115,0.02156111208890258,0.017591560580838467,33.01151314314447,-400
0.6703368420634315,0.6162536894035286,0.5881145003974069,0.697934872408708,0.5715503755435727,0.5337199908931718,0.7044385798275471,0.5499335290487771,0.5219975921806597,4.1,0.024958399182203342,0.05182285816449538,0.03750060443516066,0.01403167412776662,0.01019124573354043,0.021390534263298407,0.01464787593807678,0.020934553331455476,0.03109377514361089,2.3853720883753127,-200
0.5653982844517053,0.7289091966201626,0.6760001969139404,0.7773731057842572,0.5841867692520839,0.5346590267785725,0.7964131165295839,0.5738416801306999,0.529686491891906,16.5,0.15155309198252923,0.13120199204046712,0.11491550345910748,0.1260000667654088,0.008794173395875422,0.028636155409063044,0.15445167174150448,0.01771088241029468,0.024183252089186702,21.07723890835799,0
0.6383437794084862,0.6623787278309273,0.6196937659650348,0.7040177696281009,0.605079623193292,0.5653296895640824,0.7144757229834795,0.5900469413584993,0.5586535887298539,6.1,0.07304886660152071,0.09463673434986832,0.0722359037530422,0.0501233538895031,0.011073833218751118,0.014483554355147409,0.05134151639163622,0.017605947408502205,0.014646442040446007,6.714908785679817,200
0.6391029937523548,0.6690425178548043,0.6205284950935522,0.6966479980283313,0.5966468406892547,0.5563149389965047,0.7201200764626264,0.5689923803902003,0.5409421774263694,6.2,0.04958673892333599,0.07641003108675958,0.05632370359567663,0.018145606980886533,0.01285397798222928,0.011654135444060127,0.044315964710859086,0.022957580584687443,0.018437897517472303,4.166533331199932,400
0.6638531624435264,0.6254319563664723,0.5886738739322926,0.7038882123099434,0.5625867609546471,0.5253092020932023,0.714325925335288,0.5373886348201631,0.5128378699453979,4.4,0.03468939256872034,0.06574740550147874,0.04767761699680607,0.01260466570311396,0.009744174272604688,0.017604389238791304,0.017541243851353392,0.027346562187787225,0.01594355030736117,2.90516780926679,600
0.5565553232309383,0.7273048309518649,0.6802532256884491,0.8242562451296382,0.5385716032362116,0.5199994905170833,0.8638011578470468,0.4974929334251069,0.4815139495537875,21.3,0.15912317806882914,0.14758282468196607,0.1249576060780814,0.18156856510220407,0.006714145120262279,0.012750172976316686,0.22422405488356864,0.02496427926986301,0.028774782669126545,27.65519842633569,800
