lags,train_cross_entropy_mean,train_cross_entropy_std,train_cross_entropy_fold_1,train_cross_entropy_fold_2,train_cross_entropy_fold_3,train_cross_entropy_fold_4,train_cross_entropy_fold_5,train_roc_auc_multiclass_mean,train_roc_auc_multiclass_std,train_roc_auc_multiclass_fold_1,train_roc_auc_multiclass_fold_2,train_roc_auc_multiclass_fold_3,train_roc_auc_multiclass_fold_4,train_roc_auc_multiclass_fold_5,train_f1_mean,train_f1_std,train_f1_fold_1,train_f1_fold_2,train_f1_fold_3,train_f1_fold_4,train_f1_fold_5,val_cross_entropy_mean,val_cross_entropy_std,val_cross_entropy_fold_1,val_cross_entropy_fold_2,val_cross_entropy_fold_3,val_cross_entropy_fold_4,val_cross_entropy_fold_5,val_roc_auc_multiclass_mean,val_roc_auc_multiclass_std,val_roc_auc_multiclass_fold_1,val_roc_auc_multiclass_fold_2,val_roc_auc_multiclass_fold_3,val_roc_auc_multiclass_fold_4,val_roc_auc_multiclass_fold_5,val_f1_mean,val_f1_std,val_f1_fold_1,val_f1_fold_2,val_f1_fold_3,val_f1_fold_4,val_f1_fold_5,test_cross_entropy_mean,test_cross_entropy_std,test_cross_entropy_fold_1,test_cross_entropy_fold_2,test_cross_entropy_fold_3,test_cross_entropy_fold_4,test_cross_entropy_fold_5,test_roc_auc_multiclass_mean,test_roc_auc_multiclass_std,test_roc_auc_multiclass_fold_1,test_roc_auc_multiclass_fold_2,test_roc_auc_multiclass_fold_3,test_roc_auc_multiclass_fold_4,test_roc_auc_multiclass_fold_5,test_f1_mean,test_f1_std,test_f1_fold_1,test_f1_fold_2,test_f1_fold_3,test_f1_fold_4,test_f1_fold_5,num_epochs_mean,num_epochs_std,num_epochs_fold_1,num_epochs_fold_2,num_epochs_fold_3,num_epochs_fold_4,num_epochs_fold_5
-800,1.4648910356822769,0.0157544721145327,1.4496607240877653,1.4623734825535823,1.4852710184298064,1.4806616494530125,1.4464883038872167,0.524238612011951,0.0283349587528453,0.5416548829291375,0.531698640335479,0.4941571961837395,0.4898483823274728,0.5638339582839262,0.2876483619090112,0.0041117614772852,0.2875402407245819,0.2873155045937037,0.2804113352212367,0.2903559956552476,0.2926187333502861,1.4750272572040557,0.0070229574753233,1.4680421128869057,1.4661390073597431,1.4848098047077656,1.476561225950718,1.4795841351151466,0.5248316043278263,0.0072848409880973,0.5323034271275803,0.5331310421646831,0.5229021937060822,0.5224447010167577,0.5133766576240282,0.2837996282899065,0.0055583786306084,0.2865788176052107,0.2865788176052107,0.2865788176052107,0.2865788176052107,0.2726828710286896,1.4733443334698677,0.0112116998681829,1.463963858783245,1.4569654949009418,1.4842970669269562,1.4853666946291924,1.476128552109003,0.5098036714592074,0.0130557538242452,0.5160124831316535,0.5235252627513929,0.4999684663486192,0.4893005822423356,0.520211562822036,0.2879303415389919,0.0082035311362996,0.2920138538372269,0.2943755681901046,0.2944523402310067,0.2726828710286896,0.2861270744079319,3.0,1.7888543819998317,5,3,1,1,5
-775,1.4126078630748549,0.0250339885288621,1.4429971042432284,1.383282208442688,1.4000064009114317,1.442090138636137,1.3946634631407888,0.5919262867336836,0.0318414201700121,0.5485535590289224,0.6369452950668906,0.6079467773945779,0.5637439728570824,0.6024418293209449,0.3644730924686491,0.0539632230772882,0.2940244825785353,0.4149016879638145,0.3995008200079296,0.3035157985799544,0.4104226732130116,1.484867262095213,0.0288162092395743,1.4669487699866297,1.4858305007219317,1.4682172276079657,1.4630176872015,1.5403221249580383,0.5294283257386663,0.0047723705666491,0.535054942434621,0.5250089148327303,0.5229778441677175,0.5301351642958073,0.5339647629624557,0.2775000622443223,0.0353841796353887,0.2881304735145433,0.2944627632378406,0.3105928457175765,0.2853862961933158,0.2089279325583354,1.4846549592912195,0.0282688968189272,1.4725489355623722,1.4751006662845612,1.4632711112499237,1.471723135560751,1.5406309477984903,0.509678464804012,0.0121936472873309,0.5288077200393673,0.5175260663779813,0.4944611336852923,0.5010417538357586,0.5065556500816608,0.2835430092177288,0.0455590614893925,0.298323021015046,0.3265310344264415,0.3196440901244805,0.2726828710286896,0.2005340294939866,11.4,4.715930449020639,6,18,13,6,14
-750,1.4243376470866955,0.0359960101498954,1.4161166793421696,1.4131555331380743,1.3689751223513955,1.4763146726708662,1.4471262279309725,0.5689994595672878,0.045685759036576,0.5779162388021019,0.584251450124103,0.6395870060593681,0.5035681954839049,0.5396744073669615,0.3618137200582428,0.056438489234531,0.3863183252680748,0.3886816606418487,0.4403312290798519,0.2955570077035785,0.2981803775978605,1.481791763752699,0.0086912301622952,1.4795234724879265,1.4912118911743164,1.4912140220403671,1.4788747355341911,1.4681346975266931,0.5269835097121772,0.0118842333947004,0.5294809438124457,0.5291898989564924,0.5365153977432373,0.5357225934783291,0.5040087145703817,0.2933189241705577,0.0143879586384172,0.3125772313109371,0.2892581327620529,0.3059202734599081,0.2865788176052107,0.27226016571468,1.48741327598691,0.0129150994058935,1.4930880032479763,1.4966513998806477,1.496838204562664,1.4881180115044117,1.4623707607388496,0.5006821051862096,0.0114423482173434,0.5132285352861627,0.4913608993174345,0.4863422895215534,0.4977853636463848,0.5146934381595122,0.2943777913219826,0.0142259050986976,0.3076450964593472,0.294524096919777,0.3113807841062243,0.2726828710286896,0.2856561080958751,9.2,5.946427498927402,9,11,19,1,6
-725,1.4526214883202,0.0409627144177207,1.4863204604700992,1.4797146734438444,1.4667814543372706,1.4570419863650674,1.3732488669847187,0.5388458655839777,0.0552960439139148,0.4967393154913147,0.4902307283141968,0.5309613934031102,0.5323451955771866,0.6439526951340804,0.3157408498202955,0.0566350741872817,0.2832121149381695,0.2863791195216595,0.2868529544421429,0.2934448675101135,0.4288151926893921,1.4723022013902665,0.0058536374060751,1.4799278117716312,1.47770332172513,1.467723548412323,1.4643799029290676,1.4717764221131802,0.5285668011950858,0.0068971576827316,0.53279138571973,0.5203466275852204,0.5281896338482652,0.539201042966635,0.5223053158555789,0.2917303644776395,0.0103030937448575,0.2865788176052107,0.2865788176052107,0.2865788176052107,0.2865788176052107,0.3123365519673547,1.470991151034832,0.0067072227224575,1.4800516590476036,1.4716219380497932,1.4615542516112328,1.4760290309786797,1.4656988754868507,0.5107141896994212,0.0144560336930743,0.5386410612652852,0.5013080927548995,0.5011494310755424,0.5014975101208043,0.5109748532805746,0.2919655985585448,0.0108571555787951,0.2920138538372269,0.2943755681901046,0.2944523402310067,0.2726828710286896,0.3063033595056961,5.4,7.337574531137657,1,1,2,3,20
-700,1.4284406564110204,0.0330311023822042,1.3717790678927773,1.467474533382215,1.4513120990050463,1.4354166608107717,1.4162209209642913,0.5675745663195604,0.031018737012526,0.6243003666157882,0.5311450329440859,0.5517621565865909,0.5636299752730093,0.5670353001783277,0.3433552693504046,0.0604729533285961,0.4480599263963759,0.286077509744527,0.2933338202779006,0.316943591266923,0.3723614990662969,1.480953675508499,0.018784211522797,1.491931226104498,1.471493512392044,1.5123756267130375,1.4609916806221008,1.4679763317108154,0.5289565979777526,0.0107840254412619,0.527996530299572,0.5379647945861193,0.5260898101118364,0.5418217526779844,0.5109101022132506,0.2791677429304248,0.0294590689026745,0.3097916599672461,0.2865788176052107,0.2228974490817671,0.2856561080958751,0.2909146799020246,1.4879904061555862,0.0251468162740508,1.5119352526962755,1.4641447067260742,1.5246527679264543,1.4696632623672483,1.4695560410618782,0.5136798401403817,0.0107465990218535,0.4974851707251715,0.5177144191735531,0.5257515191429682,0.5049726897919795,0.522475401868236,0.2665132761789239,0.0459343658394083,0.2843442233830814,0.2943755681901046,0.1760651683846216,0.2772026717813685,0.3005787491554434,8.2,4.955804677345546,17,2,6,7,9
-675,1.4376072610052009,0.0419870493277996,1.4346299547898145,1.4688038637763576,1.488280234838787,1.4309690801720871,1.3653531714489586,0.5587182670759635,0.0442596351093293,0.558268156923006,0.5207148092692807,0.5116450317371479,0.5662907283487896,0.636672609101593,0.3331519311493595,0.0563392343853841,0.3394228351763398,0.2847056956933788,0.2812227040025705,0.3238140247483885,0.4365943961261196,1.4808653369545937,0.0071801691097699,1.4908706843852997,1.4712708927690985,1.4870372414588928,1.475862979888916,1.4792848862707615,0.5300853315241096,0.0061110046578998,0.5317948204421704,0.5259300146793533,0.5222230195951998,0.5301606192802576,0.5403181836235672,0.3067751915258766,0.0170291224648906,0.3274058068971849,0.2865788176052107,0.2865788176052107,0.3140799435278922,0.3192325719938842,1.48676937520504,0.0210140877467685,1.5261603854596617,1.4659936428070068,1.4860981963574886,1.4834200851619244,1.4721745662391186,0.5032112652119534,0.0130141983855774,0.5106711236086874,0.5037287637694319,0.4874030146296833,0.5231011802809931,0.4911522437709714,0.2964796471315968,0.0179280979446504,0.2653079706792023,0.2943755681901046,0.2944523402310067,0.315494967406059,0.3127673891516112,7.8,7.138627319029898,7,2,1,8,21
-650,1.4237268799229672,0.044225220206581,1.453271688913044,1.4922944696326004,1.4115323919998972,1.3942825681284854,1.367253280940809,0.5826203360323035,0.0528853843658414,0.5345016264749154,0.5115237328449678,0.596725995624678,0.6140660060889881,0.656284319127968,0.3570369343484777,0.0636996240504697,0.2899548253633774,0.2739734832934409,0.38256696637117,0.4039764384169588,0.4347129582974411,1.4893641598522662,0.0155141935226276,1.4816777631640434,1.477122075855732,1.489387460052967,1.5192716121673584,1.4793618880212307,0.5310195177356998,0.0063644253609113,0.525858881894636,0.5214462682725169,0.533763659248982,0.5354582738621498,0.5385705054002136,0.2972528156119821,0.0348182145095966,0.2874781283327673,0.2865788176052107,0.3258215151551226,0.2431781923498586,0.3432074246169515,1.4958330415189267,0.019503535917257,1.493511226028204,1.4724957384169102,1.4971867091953754,1.5309499688446522,1.4850215651094911,0.4991185339918383,0.0162900807878161,0.4914653246157967,0.5297087635732776,0.4812421987003802,0.4963319968652628,0.4968443862044743,0.2853802663667335,0.0336906228899761,0.2957320944864287,0.2943755681901046,0.3076837589116512,0.2191546159349106,0.3099552943105723,10.8,7.30479294709987,5,1,12,14,22
-625,1.4501152964642174,0.0344069809170254,1.4664910592530902,1.4779830418134992,1.4691119620674535,1.4539486420781988,1.383041777108845,0.543782439211282,0.0447772832037167,0.5172651853048622,0.5008200752253583,0.5255278207986862,0.5470649742185612,0.6282341405089423,0.3135495716604474,0.0503926923929354,0.2877135517550845,0.2869014177046346,0.2846389370474834,0.2943674677906248,0.4141264840044098,1.4734754636883736,0.0064571380625264,1.466576687991619,1.4733549281954763,1.466013167053461,1.4811169989407065,1.4803155362606049,0.5283941578503782,0.005239438079639,0.5312800861675304,0.5252537609866635,0.5251697199757516,0.5372966930683026,0.522970529053643,0.2915760394833778,0.0100296954180168,0.2865788176052107,0.2865788176052107,0.2865788176052107,0.2865083884656465,0.3116353561356103,1.4706703841686248,0.0093267506173765,1.466884832829237,1.4681575372815132,1.462173406034708,1.488853394985199,1.4672827497124672,0.5077933769589729,0.0085806447283774,0.5236749916074077,0.4982752617058009,0.5029823872710283,0.5077122310845196,0.5063220131261077,0.2930321161212503,0.0102331204137067,0.2920138538372269,0.2943755681901046,0.2944523402310067,0.276078336850988,0.3082404814969252,5.2,5.979966555090422,2,1,2,4,17
-600,1.4642881042078923,0.0128522864794264,1.4659682926378752,1.4685401565150211,1.4838480096114308,1.458523746540672,1.4445603157344618,0.5242537547287094,0.0194915933064277,0.5188942745318622,0.5175010275269534,0.4944027701187914,0.5400511597873832,0.5504195416785566,0.289554335509903,0.007092719747458,0.2878571688796312,0.2843660180326986,0.2814584966147003,0.2923560884286217,0.3017339055938635,1.4733451813459395,0.007303862938753,1.46791809797287,1.4727562218904495,1.481851115822792,1.463114656507969,1.4810858145356178,0.5257154278584913,0.0085469644255756,0.5291034404244143,0.5216648855004921,0.5303449337245357,0.5361429572610651,0.5113209223819493,0.2866392470129326,0.0001208588154437,0.2865788176052107,0.2865788176052107,0.2865788176052107,0.2865788176052107,0.2868809646438202,1.4750473201274872,0.0055396290845891,1.4700875394046309,1.4687034264206886,1.4789752960205078,1.4739412367343905,1.4835291020572186,0.5130869704767053,0.0204763207035831,0.5389652003191645,0.514678061787057,0.4771286544706316,0.5104339252379775,0.5242290105686955,0.2829344923767414,0.0136069709959314,0.2920138538372269,0.2943755681901046,0.2944523402310067,0.2726828710286896,0.261147828596679,2.8,1.7204650534085253,2,2,1,3,6
-575,1.462194160662199,0.0117465480792332,1.4594335380353425,1.4639225846842716,1.4663116066079391,1.4425188905314394,1.478784183452004,0.528452220992812,0.0157902770562536,0.537675374623687,0.5288867417614671,0.5246756574170787,0.5492798450617515,0.501743486100075,0.290725713185387,0.0065771155955491,0.286265256019163,0.2855027882794775,0.2877650523183363,0.3033887204374872,0.2907067488724713,1.47464996650815,0.0083443767941898,1.4830832369625568,1.472092688083649,1.4685054942965508,1.463997807353735,1.4855706058442593,0.5240695351157801,0.0093149728326535,0.5319586253825157,0.5188168053152113,0.5260946415732349,0.5345655117868686,0.5089120915210699,0.2875666473186996,0.0084217551219955,0.298501465558644,0.2904657416930277,0.2865788176052107,0.2896043407079255,0.2726828710286896,1.4754741072654725,0.0114875020659442,1.4961352087557316,1.4684870429337025,1.462095484137535,1.4737323261797428,1.47692047432065,0.5104811262516764,0.0136721827003078,0.5345929455295239,0.5139849284701871,0.49440119158925,0.5018949405945106,0.5075316250749101,0.2941218979786237,0.0077604600444863,0.3074989801948578,0.2958443576471753,0.2944523402310067,0.2862349942148681,0.2865788176052107,3.4,2.0591260281974,4,3,2,7,1
