train_mse_mean,train_corr_mean,val_mse_mean,val_corr_mean,test_mse_mean,test_corr_mean,num_epochs_mean,train_mse_std,train_corr_std,val_mse_std,val_corr_std,test_mse_std,test_corr_std,num_epochs_std,lags
0.045323769925771466,0.24574300630882254,0.06515477604439689,0.007423892179738484,0.061881287838332355,-0.003726854517844913,10.1,0.02005199451118288,0.3205524318074527,0.010426577218455446,0.012358418615266266,0.010058545275013365,0.04733028014082412,15.34568343215772,-1000
0.04085834461229497,0.27645683942990174,0.06211858360717694,0.02105913656543837,0.0618031962774694,0.0030408184571570017,6.3,0.01734583543938475,0.29291948977803467,0.006825264306772144,0.026058564048825218,0.00873202093385072,0.04168412303173146,7.550496672405068,-800
0.038762397101479704,0.32231639658340805,0.06579145428517627,0.017894262825656267,0.06904373083962127,-0.023510559622081928,11.3,0.019603506250122197,0.3298090537910077,0.016660666770236744,0.02358925958815442,0.020784954518090096,0.05226636321498701,14.346079603849967,-600
0.04554744968538947,0.25830443092061817,0.05908980626716383,0.01331606478375357,0.05762292671715841,0.004413993177877273,8.8,0.021321321920413566,0.3294585123930199,0.0045501467280100434,0.04343416707615095,0.005339339217055944,0.039079701167736035,11.232096865679177,-400
0.04545126303412439,0.2609848091679094,0.06172316833399236,0.017573649902866844,0.060450282180681825,0.0029193106602178887,6.1,0.020095902030160612,0.3058007135083585,0.0091924287872901,0.050300974925202885,0.0092521209619198,0.03748719749753902,8.287943049997386,-200
0.0440894089273621,0.2740097126319665,0.05980665741695298,0.016559852560436007,0.059779907891061156,0.033181664620133236,7.6,0.019997354149968723,0.3182768854644065,0.00877128769861477,0.04490111735826325,0.012307016544715752,0.034827600984554,12.435433245367848,0
0.030749156077557776,0.4835785200230224,0.056740077129668665,0.026154135363160295,0.05728160321014002,0.052516638390807203,12.0,0.020209740802008644,0.3333189907522971,0.0036325947457820037,0.03625919128212107,0.00709568783524094,0.07310859018399649,9.305912099305473,200
0.028685814882498058,0.5063070371529418,0.058579758409824635,0.03864381776818643,0.05699400617741048,0.05912839110533241,15.2,0.017139253781772303,0.2833061412341792,0.0030634309061390278,0.058255691761906564,0.004973629875143955,0.05198586689001338,16.166632302368974,400
0.0402667488250011,0.2980237139642353,0.059575775798617135,0.021028435164771507,0.0555037283571437,0.02321572957007447,4.1,0.016388065866870635,0.26432875117338084,0.007920393988677152,0.055040523190176674,0.006013376480698603,0.07003473944222437,3.83275357934736,600
0.045120562869341706,0.2600259621926313,0.060973987029865374,0.005187825759316585,0.05959257781505585,0.012809740213560872,8.4,0.02141438213744556,0.33783659246505904,0.006973238290072807,0.026075029744685188,0.007780772815613418,0.032374726688620445,11.235657524150511,800
