lags,word_pairwise_accuracy,whisper_pairwise_accuracy,multimodal_score
-1000,0.4949878741055727,0.5489186068375906,0.5205601444490412
-800,0.4946649696677923,0.5589625941081481,0.524851900550196
-600,0.4973356930539012,0.5909762766325113,0.5401274713575606
-400,0.498236683011055,0.6172755620696327,0.551404666162338
-200,0.501825986802578,0.6442509604222847,0.5641887741399428
0,0.506217036396265,0.6854105365998817,0.5823404869358253
200,0.5082908745855093,0.701639357660756,0.5895164419305325
400,0.5116192907094955,0.7073924534248583,0.593785297009554
600,0.5065975833684206,0.6641434351603189,0.5747700882387075
800,0.5048376971855759,0.636522464318709,0.5630834962209054
