train_cross_entropy_mean,train_perplexity_mean,val_cross_entropy_mean,val_perplexity_mean,test_cross_entropy_mean,test_perplexity_mean,num_epochs_mean,train_cross_entropy_std,train_perplexity_std,val_cross_entropy_std,val_perplexity_std,test_cross_entropy_std,test_perplexity_std,num_epochs_std,lags
4.112551067530182,61.10239524959405,4.271726401035602,71.6452172900883,4.183609746052669,65.6022337247613,20.0,0.0859923153318123,8.373487525894737,0.1238282353004494,1.8924841379060744,0.0953300406924687,21.249647259477843,3.1622776601683795,-1000
4.134227117973287,62.44131264783634,4.271456712942857,71.6258980332869,4.185501566666823,65.72645885163429,18.8,0.0683803672467873,6.452399566834423,0.1128739228952657,4.57540051378718,0.0991964051944711,24.69241622637348,2.039607805437114,-800
4.118729964933247,61.48110949425123,4.2807475251417895,72.29446174127135,4.17918989768395,65.31292162782573,19.2,0.1060300860043012,9.34720330112556,0.1055191435520198,4.298673565814926,0.1188744784974475,24.01410857652972,3.867815921162743,-600
4.084620325305918,59.419373435533444,4.268568092126112,71.4192965135943,4.16901258468628,64.65158261700368,19.0,0.0291965985765966,3.941798325469472,0.1217978043915369,6.454612880566831,0.1099658487226918,18.567303603975112,1.2649110640673518,-400
4.130190434727643,62.18976489810504,4.261201900702256,70.8951411884359,4.174226397367624,64.9895441267331,16.4,0.0728876251041587,6.133497670405907,0.1249475244898986,10.545483596528545,0.1041021584600668,26.511964730579436,2.65329983228432,-200
4.06542121981092,58.289456025887546,4.214260586225069,67.64413037295232,4.123047542205223,61.74713281011521,17.4,0.0847659478944324,6.679393578643266,0.0943656030779977,7.447125034635459,0.0970986367993756,23.532577295369936,2.8,0
3.978151998124592,53.418225974910605,4.187200022844168,65.83818721769354,4.101014666557312,60.4015439413719,20.2,0.1030382415354529,7.087511889860574,0.1085783247174462,12.798607938892456,0.1045174661184647,19.855358671997617,3.762977544445356,200
4.018034338827578,55.59172386496794,4.188521245809702,65.92523163253236,4.10717213850755,60.77461215374598,17.8,0.0862996513426033,5.188713614050327,0.1092599351447024,5.220472664849607,0.1154570067141644,21.363877530639083,2.5612496949731396,400
4.030102712996883,56.26669027071474,4.2403575541422915,69.4326733409387,4.175052237143883,65.04323724521876,19.6,0.0942157084211001,8.089957862745994,0.103743814217981,3.3531527404872095,0.0884054312525599,17.606185695273435,1.8547236990991407,600
4.054783090779201,57.67265190933999,4.2650627275613635,71.16938411529044,4.175447365320646,65.06894273911023,19.8,0.1044843859693023,9.554310860090627,0.098513177914085,3.304017503199616,0.0953092148925768,15.022199918924033,3.9698866482558417,800
