lags,train_mse_mean,train_mse_std,train_mse_fold_1,train_mse_fold_2,train_mse_fold_3,train_mse_fold_4,train_mse_fold_5,train_cosine_sim_mean,train_cosine_sim_std,train_cosine_sim_fold_1,train_cosine_sim_fold_2,train_cosine_sim_fold_3,train_cosine_sim_fold_4,train_cosine_sim_fold_5,train_pairwise_accuracy_mean,train_pairwise_accuracy_std,train_pairwise_accuracy_fold_1,train_pairwise_accuracy_fold_2,train_pairwise_accuracy_fold_3,train_pairwise_accuracy_fold_4,train_pairwise_accuracy_fold_5,val_mse_mean,val_mse_std,val_mse_fold_1,val_mse_fold_2,val_mse_fold_3,val_mse_fold_4,val_mse_fold_5,val_cosine_sim_mean,val_cosine_sim_std,val_cosine_sim_fold_1,val_cosine_sim_fold_2,val_cosine_sim_fold_3,val_cosine_sim_fold_4,val_cosine_sim_fold_5,val_pairwise_accuracy_mean,val_pairwise_accuracy_std,val_pairwise_accuracy_fold_1,val_pairwise_accuracy_fold_2,val_pairwise_accuracy_fold_3,val_pairwise_accuracy_fold_4,val_pairwise_accuracy_fold_5,test_mse_mean,test_mse_std,test_mse_fold_1,test_mse_fold_2,test_mse_fold_3,test_mse_fold_4,test_mse_fold_5,test_cosine_sim_mean,test_cosine_sim_std,test_cosine_sim_fold_1,test_cosine_sim_fold_2,test_cosine_sim_fold_3,test_cosine_sim_fold_4,test_cosine_sim_fold_5,test_pairwise_accuracy_mean,test_pairwise_accuracy_std,test_pairwise_accuracy_fold_1,test_pairwise_accuracy_fold_2,test_pairwise_accuracy_fold_3,test_pairwise_accuracy_fold_4,test_pairwise_accuracy_fold_5,num_epochs_mean,num_epochs_std,num_epochs_fold_1,num_epochs_fold_2,num_epochs_fold_3,num_epochs_fold_4,num_epochs_fold_5
-800,37.04240039943419,0.4765320121518343,37.38671261502295,37.20952657325981,36.32626507945896,36.66771033375534,37.62178739567393,0.5034909580171723,0.0531749225077296,0.4636877283607561,0.4838660565233722,0.5746333857172543,0.5569573745285112,0.4383102449559674,0.980301157346706,0.0135999482824252,0.9716702404710436,0.9779502300872016,0.9968614547523028,0.99416981714288,0.9608540442801012,39.42531694354433,0.0768583467702205,39.43049956813003,39.46767078746449,39.4759372364391,39.47707390062737,39.275403225060664,0.0538232810287313,0.0049770232541041,0.0628583854572339,0.0519843753709486,0.0498299187783038,0.0492416703791329,0.0552020551580371,0.5599238160884742,0.0146404462503465,0.5778347831783872,0.5660740317720355,0.5418397486209869,0.5433671158371549,0.570503401033806,39.48417934070933,0.2231542197993885,39.55989063147342,39.21604387687914,39.864522991758406,39.32298105413263,39.457458149303086,0.0512748997884266,0.0092766993621439,0.0537139448252591,0.0660620520850925,0.0526854309507391,0.0458310367257306,0.0380820343553116,0.5557408578468092,0.0110105455694815,0.5651881514173566,0.5725806265166311,0.5479594180078218,0.5473688326098702,0.5456072606823661,10.8,3.54400902933387,8,9,16,14,7
-775,36.83802393490506,0.5645193133996459,37.07630511411686,37.81293684182708,36.18125443606033,36.563475264716395,36.556148017804645,0.5245196921923726,0.0645099920547867,0.4978919305752233,0.4097654460017214,0.5849860156934286,0.5646098348283276,0.565345233863162,0.9829632314210086,0.0192368592100211,0.9817197058618684,0.9460974710503804,0.9975889257549012,0.9946686545598138,0.9947413998780792,39.409510710745145,0.0906242359653237,39.46994376905037,39.431444225889265,39.467043327562735,39.44872757882783,39.23039465239554,0.0577009509204689,0.004837171555862,0.0541112806196465,0.0603712111372839,0.051886390457212,0.0565683346693262,0.0655675377188758,0.5649376664197806,0.0115901545073952,0.5645568397912112,0.5867749904141282,0.558162252108256,0.553071016163537,0.5621232336217706,39.475912221272786,0.22072231929817,39.52849925648082,39.219488779703774,39.852400808623344,39.29360360810251,39.48556865345348,0.0527817546813325,0.0107344331949054,0.0600257233123887,0.0636999496456348,0.054746189549791,0.0526698179204355,0.0327670929784124,0.5665831531539108,0.0102678198091435,0.5659925711877418,0.5790872230674281,0.5665933354334398,0.5728555529406576,0.5483870831402865,12.6,4.029888335921977,10,6,17,15,15
-750,36.91724609689614,0.4010512759068984,36.4941340967552,36.68361443588414,37.017984055981195,36.74475821268927,37.64573968317091,0.5170355445945385,0.0460116738753081,0.5624767498871714,0.5423037990466836,0.5003709301506121,0.5454380748812685,0.4345881690069572,0.9842030622295496,0.0136688698403483,0.995011602480387,0.9923823199321314,0.983600733206444,0.9920557036842268,0.9579649518445597,39.42012946388938,0.0945344236568069,39.4584987524784,39.475665814948805,39.46631795709784,39.46878525705048,39.23137953787139,0.0546727985143661,0.0045878685343235,0.0551408152237083,0.0517407153083971,0.0511508576120391,0.0519166141466209,0.0634149902810653,0.5705135894544198,0.0068523186743037,0.5791788733366764,0.5718474939013972,0.5686094661553701,0.5586713733095111,0.5742607405691436,39.45714898542924,0.2045249459808699,39.50880073778557,39.21628634134928,39.807797981031015,39.29742454760002,39.45543531938033,0.0551577233088513,0.0100674244803006,0.0644589923886638,0.0617350271169209,0.0615810836580666,0.0506038384399179,0.0374096749406872,0.5712263596780373,0.0096947554635237,0.5828649257168625,0.5725806220011278,0.5772747505794872,0.5692815049128099,0.5541299951798988,11.6,2.8000000000000003,15,13,10,13,7
-725,36.847512227481175,0.3964781150927944,36.24404376315088,36.7082668186463,37.25617335997906,36.714862548198894,37.31421464743073,0.5239297306414732,0.0455051532351874,0.5835292376193804,0.5417813148695169,0.4656683221920249,0.5524419810354095,0.4762277974910343,0.9860913506488213,0.0102741431364131,0.9975265774530234,0.9921640796759694,0.9728163763419868,0.993328031190892,0.9746216885822336,39.391772761489406,0.0859246093125964,39.419169108072914,39.45078046394117,39.42277330340761,39.444492571281664,39.221648360743664,0.0624002549571521,0.0042755675317113,0.0614916266534816,0.0583886624962994,0.0633921319844596,0.0586292656759421,0.0700995879755778,0.5743259037985946,0.0084518399413425,0.5741690930091974,0.5653714420217456,0.5882514462326512,0.5778958788423827,0.5659416588869962,39.47492027282714,0.1965555602052005,39.5849381649133,39.232422626379766,39.7889860904578,39.32438902421431,39.44386545817057,0.0523063079877333,0.0098374631157871,0.0480030868202447,0.0603004174137657,0.0672813541058338,0.0417497506873174,0.0441969309115048,0.5649376672325712,0.0060189830888608,0.5696378946304321,0.5689658513574889,0.5701877483815858,0.560911519057823,0.5549853227355264,12.2,3.3105890714493698,17,13,8,14,9
-700,37.210894578756744,0.280741076880138,37.73683835059097,37.11507746116402,37.24245413554083,36.998851815449825,36.961251131038075,0.483762718414523,0.040670129573356,0.4105188508623654,0.5005286461913708,0.4704664008519084,0.5160497340959372,0.5212499600710329,0.9762613115851412,0.0139868389103634,0.9501920815595648,0.9829267109792256,0.9734696137536432,0.9872826178049304,0.987435533828342,39.39889831542969,0.0700593800351045,39.426854798288055,39.46349681507457,39.4180231961337,39.42363473140832,39.26248203624379,0.0604685564356094,0.003664226444873,0.0621229328892447,0.0553296755039782,0.0652823595076122,0.0624431779777461,0.0571646362994656,0.5785760666384842,0.0153670121666281,0.5884754630652341,0.5867648097601804,0.5969880033623088,0.5626221723628767,0.5580298846418207,39.45299726544004,0.1954108155573704,39.53330577503551,39.219770142526336,39.787888729211055,39.335807453502305,39.388214226925015,0.0573217067895739,0.0086491172854987,0.0548037585209716,0.0588386549868366,0.0707652466089436,0.0437772616066715,0.0584236122244461,0.5758777114478024,0.0068767211203941,0.5678763254122301,0.5778347822752866,0.5778551480986855,0.5690676741527788,0.5867546273000313,9.2,1.9390719429665315,6,10,8,11,11
-675,37.46510249658958,0.3482943812194072,37.30299157211461,37.22763494117973,38.158307458936555,37.32907611807597,37.30750239264105,0.4475385984809127,0.0570863697529596,0.4641348605917901,0.4825886368137045,0.3340922495753495,0.4761332073776992,0.4807440380460208,0.9612149087424132,0.0310717896219572,0.9749883941768372,0.9793799292180956,0.8991445296818448,0.9756074824284032,0.9769542082068846,39.38529933582653,0.0829572011479898,39.386379704330906,39.426525693951234,39.4400573499275,39.44856921109286,39.22496471983014,0.0636017395014112,0.0043688939251947,0.0696585493049386,0.0627165584909645,0.0607861056359428,0.0575624392226789,0.0672850448525313,0.5834799428780874,0.0083779793188606,0.5804924043742093,0.5969880096840136,0.5853799942767981,0.5835471460313508,0.5709921600240649,39.46465501496286,0.2315384695430036,39.55322311863755,39.18653667334354,39.84477083610766,39.268847263220586,39.46989718350497,0.0559011268006129,0.0109309820905394,0.0531666650239265,0.0721510273940635,0.0606967270317854,0.0549690627464742,0.0385221518068151,0.5859542852098291,0.006708286010727,0.577610767248905,0.5940860085415117,0.591173818617156,0.5884245507644884,0.5784762808770845,7.8,1.9390719429665315,8,9,4,9,9
-650,37.01695632148035,0.5915716844528772,37.14977807113805,36.80657719091042,36.69820990021696,38.08336989412603,36.34684655101029,0.5006073779666547,0.0714730971878644,0.4842586151717864,0.531014384375405,0.5330902872626314,0.3719518614798477,0.5827217415436027,0.9767090765471312,0.0260924165465604,0.9795773895745424,0.9903869788671276,0.9908293989515796,0.925744662579802,0.9970069527626038,39.37551357384884,0.0771794700759828,39.374347339976914,39.431073969060726,39.42612919662938,39.41949590047201,39.22652146310517,0.0667445701038973,0.0044465153872112,0.0747760605970115,0.0627565878358754,0.0624691742811013,0.0671276823532852,0.0665933454522129,0.5793071701671137,0.0095825653599682,0.586418608824412,0.5855429136391842,0.5683650834993883,0.5892187853654226,0.5669904595071619,39.46334138350053,0.238666034351738,39.528400074351914,39.153551043886125,39.86536153157552,39.3118457216205,39.457548546068594,0.0546796878235358,0.0102225672074008,0.0578298878602006,0.0722599039700898,0.0523338329442071,0.049296446370356,0.0416783679728255,0.5739247137849981,0.0121154436668913,0.5632738452969175,0.5903897700887738,0.559180498123169,0.5851763396552114,0.5716031157609188,11.0,3.9496835316263,9,12,12,5,17
-625,37.26590771232683,0.8209158735328846,36.75621846779106,37.97709474858549,37.625246932826094,35.909024975963476,38.061953436468066,0.4662576263712853,0.0964836357937412,0.53058886435843,0.3805532953173844,0.4213368222885525,0.6235947522920432,0.3752143976000166,0.9612281060710396,0.0287820199389148,0.99055919512031,0.9313001522083872,0.9531078971538348,0.999366049914016,0.93180723595865,39.3858047022964,0.0845946645071025,39.38995338208748,39.450121677283086,39.43628623268821,39.431223435835406,39.22143878358783,0.0639056066164013,0.006177623251282,0.0693318559364839,0.0579940945926037,0.0578357176572987,0.0613480975964304,0.0730182672991897,0.5904895554889331,0.0112021487363902,0.6023032583973624,0.5996150844024889,0.5719696780045828,0.5838628068114772,0.5946969498287548,39.44872331330271,0.2288201289838095,39.51539461540453,39.20057764920321,39.85410724986683,39.28034140846946,39.39319564356949,0.0582664876978731,0.0040421373162385,0.0595466821934237,0.065050700241982,0.0537109118180744,0.0546251814247983,0.0583989628110871,0.5834371792547631,0.0188462990176804,0.581795764691902,0.6169456460259177,0.562825827887564,0.5688029383168076,0.586815719351624,10.4,7.28285658241325,12,5,6,24,5
-600,37.17620181840719,0.7237508141343334,38.20896164412351,36.94467088365063,36.27776942302271,37.81088024807959,36.63872689315953,0.4777516758319029,0.0925443439787278,0.3355450387468043,0.5141658773741771,0.5761734486855182,0.4054121835944579,0.5574618307585569,0.9669409626537993,0.0348564851725514,0.906339051797218,0.9871786931126388,0.9969861642601564,0.9493324848794444,0.994868419219538,39.36378386526396,0.0842426344101342,39.41935614383582,39.429805062033914,39.397745883826055,39.37198534878817,39.200026887835875,0.068583325008777,0.0050507113169563,0.0644301529409307,0.0619077165469978,0.0691392787760405,0.0762358135120435,0.0712036632678725,0.5964401891737273,0.0142125067382757,0.5820197797182834,0.6054190921060967,0.5908479753768805,0.6196949111692833,0.5842191874980927,39.439826572302614,0.2391030062510831,39.602869207208805,39.186798211300015,39.8148649967078,39.21374292084665,39.38085752544981,0.0593259279644398,0.0112889240992128,0.0387022420763969,0.0666347520538803,0.0630962394996348,0.0711224197240715,0.0570739864682157,0.5871741442969352,0.0155403335076903,0.5728861066428098,0.5977516914858962,0.5720511403950778,0.6121700731190768,0.5810117098418149,10.2,4.578209256903839,4,11,16,6,14
-575,37.18799218246617,0.6345075880893728,36.37851510588656,36.70092112747664,38.16459738347948,37.10758000796603,37.58834728752215,0.4753579061670401,0.0845751917572779,0.5713899750070474,0.5376768646780977,0.332334957786442,0.4999891117061536,0.43539862165746,0.96798706681458,0.0344067618616339,0.9967263556018318,0.9920913355866658,0.9034365987040331,0.985606468829912,0.9620745753504566,39.34323263457327,0.0947225402077563,39.34018198649088,39.386280522202,39.42470608335553,39.402879772764265,39.16211480805368,0.0731231917852931,0.0063013207304747,0.0796940111639824,0.07214573793339,0.0661714573277894,0.0665514129919536,0.0810533395093498,0.6051787887558793,0.015024349921451,0.6056736572222277,0.6027105595126296,0.6287165898265261,0.581439374071179,0.607353763146834,39.40846603855942,0.2331196656968051,39.49244782418915,39.12649351177794,39.78812304410067,39.20690420902137,39.42836160370798,0.0688201819348967,0.0130309436263119,0.0665931611914526,0.0844588310768206,0.0731529877944426,0.0744960713905818,0.0453998582211859,0.5978779557979468,0.0082970386511067,0.5918458664056027,0.604533213557619,0.6037593483924866,0.6048183260541974,0.5844330245798285,10.0,4.242640687119285,16,13,4,10,7
