train_cross_entropy_mean,train_perplexity_mean,val_cross_entropy_mean,val_perplexity_mean,test_cross_entropy_mean,test_perplexity_mean,num_epochs_mean,train_cross_entropy_std,train_perplexity_std,val_cross_entropy_std,val_perplexity_std,test_cross_entropy_std,test_perplexity_std,num_epochs_std,lags
4.342982513879992,76.9366621502108,4.312345874670781,74.6153219858603,4.214621978095083,67.66858082955531,34.2,0.0315154134112573,2.1643088361922898,0.0949314394961478,2.933625764840206,0.0951953144322235,15.868698904355762,9.15204895091804,-1000
4.3197749422997544,75.17170841630065,4.311890366583159,74.58134184293777,4.216090166207516,67.76800400361604,57.6,0.0389360875484307,2.7708005921727845,0.0912951782683324,3.678801369970043,0.1052722726531869,15.581004178005507,21.133859089148864,-800
4.330567630295901,75.98740708414212,4.298556976607352,73.59351986950668,4.226020184430209,68.44429374588498,39.0,0.0189456300851356,2.8255012743554015,0.1144621529974616,4.513715838068935,0.0927077207851593,16.160445416102863,8.0,-600
4.325399259193657,75.59568910913089,4.3061631289395415,74.1554176232721,4.210776333375411,67.40885124295167,54.6,0.0487727421618868,6.687790384855289,0.0948612686112773,3.5587473895833597,0.1152300270621126,15.1105072426084,18.35864918778067,-400
4.321802034574686,75.32424295428487,4.2885941751075505,72.86396249153304,4.207999639800101,67.2219371404728,54.0,0.0238369401409646,1.5554839605668704,0.1264709699371199,4.673605244218912,0.0938017220252339,17.37693060176782,15.962455951387932,-200
4.331477787076812,76.05659902094237,4.310310771248558,74.46362649909449,4.21138681787433,67.45001586562898,46.2,0.0573308206294914,5.055812357841354,0.0907453544012584,2.2550407618263515,0.0975513140983165,17.58015748227279,27.54922866433832,0
4.322159818767273,75.3511975994179,4.29401712995587,73.2601738172633,4.217578367030982,67.86893148453164,58.8,0.0349604415634243,2.1145847196242764,0.1154466731088192,4.409901516345933,0.1043078680804582,16.208454551252885,29.075075236360096,200
4.336227802394592,76.41872841050095,4.292704797513558,73.16409517178421,4.230666063771103,68.76301747892175,44.6,0.0308154786212979,3.417282302690242,0.1247207094308287,5.206962204085116,0.0842230181091863,8.490975704993735,10.537551897855591,400
4.34782772162526,77.31034080587345,4.300030657739351,73.70205320329669,4.236812317010129,69.18695387347975,50.4,0.042078110626228,28.58894298891677,0.1068386926498906,4.78404308339232,0.1119741589179537,14.364107461379213,15.23942256123899,600
4.340086289533635,76.71415868167729,4.325184333685672,75.57944341311742,4.218485775860873,67.93054430201563,42.4,0.0205991908618449,2.528295666673274,0.114997781286911,5.382150568532075,0.1023825630260905,9.344594448009186,11.359577456930342,800
