lags,train_bce_mean,train_bce_std,train_bce_fold_1,train_bce_fold_2,train_bce_fold_3,train_bce_fold_4,train_bce_fold_5,train_roc_auc_mean,train_roc_auc_std,train_roc_auc_fold_1,train_roc_auc_fold_2,train_roc_auc_fold_3,train_roc_auc_fold_4,train_roc_auc_fold_5,train_f1_mean,train_f1_std,train_f1_fold_1,train_f1_fold_2,train_f1_fold_3,train_f1_fold_4,train_f1_fold_5,val_bce_mean,val_bce_std,val_bce_fold_1,val_bce_fold_2,val_bce_fold_3,val_bce_fold_4,val_bce_fold_5,val_roc_auc_mean,val_roc_auc_std,val_roc_auc_fold_1,val_roc_auc_fold_2,val_roc_auc_fold_3,val_roc_auc_fold_4,val_roc_auc_fold_5,val_f1_mean,val_f1_std,val_f1_fold_1,val_f1_fold_2,val_f1_fold_3,val_f1_fold_4,val_f1_fold_5,test_bce_mean,test_bce_std,test_bce_fold_1,test_bce_fold_2,test_bce_fold_3,test_bce_fold_4,test_bce_fold_5,test_roc_auc_mean,test_roc_auc_std,test_roc_auc_fold_1,test_roc_auc_fold_2,test_roc_auc_fold_3,test_roc_auc_fold_4,test_roc_auc_fold_5,test_f1_mean,test_f1_std,test_f1_fold_1,test_f1_fold_2,test_f1_fold_3,test_f1_fold_4,test_f1_fold_5,num_epochs_mean,num_epochs_std,num_epochs_fold_1,num_epochs_fold_2,num_epochs_fold_3,num_epochs_fold_4,num_epochs_fold_5
-800,0.7010242361771434,0.0211559919300965,0.7173031261092738,0.6922651115216707,0.7325418108387998,0.6898972580307409,0.6731138743852314,0.5467128256554402,0.0460850581325132,0.5094714917336467,0.5562258853852282,0.4849009280780336,0.5658673323419233,0.6170984907383693,0.530480195548916,0.0374728427481867,0.5005142582482096,0.5473581720290637,0.4764673250589153,0.5457331350131512,0.5823280873952404,0.7014976367354393,0.0127358479309086,0.693199010565877,0.6964913085103035,0.6954102329909801,0.6955095827579498,0.7268780488520861,0.5288588129664527,0.0076281002573781,0.533984387452409,0.5213243885793107,0.5410092634282962,0.5265195799733006,0.5214564453989474,0.3790502193257306,0.0495760615140395,0.3952809660296057,0.4240919531496318,0.2865788176052107,0.372751187121942,0.4165481727222628,0.705224122107029,0.0196962054324689,0.6938508078455925,0.6948514170944691,0.6961704306304455,0.6966815795749426,0.7445663753896952,0.5022661994983315,0.0224483409611059,0.4858011054237381,0.5404691186600508,0.4754785527424188,0.5102109505520225,0.4993712701134273,0.3738730489189336,0.0415316323217649,0.3853802563314487,0.4115733628766352,0.2944523402310067,0.3765984954345034,0.4013607897210741,3.0,1.6733200530681511,1,4,1,4,5
-775,0.6527264674086319,0.0873379357657671,0.6852917169269762,0.7055423272283454,0.6887136710317512,0.7052442368708158,0.4788403849852712,0.600671181414528,0.1283685889985736,0.5730109363649001,0.5090471013949405,0.5578445191577877,0.5110540309516366,0.8523993192033754,0.5733372921679388,0.0994871951406589,0.5542693165368301,0.5027144976860308,0.5409857610387304,0.5008602031433126,0.7678566824347903,0.7330949328839779,0.066962268462417,0.7083677370101213,0.7018642295151949,0.6936241742223501,0.6950139217078686,0.8666046019643545,0.5214789956543251,0.0092852470550385,0.5270135934911053,0.5234602497689494,0.5038782246516895,0.5307571361914041,0.5222857741684767,0.4297770263412547,0.0668621759588159,0.3215883588804124,0.3960772914064352,0.4863441280414252,0.4358822817577055,0.5089930716202948,0.7352407805621624,0.0708374144709294,0.7025750335305929,0.7026590704917908,0.6973835676908493,0.69675805978477,0.876828171312809,0.5101732194618516,0.0130995577151194,0.5270164237016289,0.5229283933529647,0.5084864322794561,0.4993182598399648,0.4931165881352427,0.427478237368618,0.0502022615409398,0.3528758613244561,0.3815119940021094,0.4721151063405915,0.4605625224526936,0.4703257027232397,5.0,3.687817782917155,5,2,4,2,12
-750,0.5974862712543261,0.2137930181698426,0.702997562759801,0.7183743119239807,0.703583384187598,0.6922525901543467,0.1702235072459045,0.6083376378571996,0.1894296639136531,0.5115858634292019,0.47722512193294,0.5172156043911523,0.5513969440613159,0.9842646554713884,0.5954421716753358,0.1687467317418857,0.5184687762853512,0.4820848338737069,0.512237676566159,0.5331259351881812,0.9312936364632808,1.0349235527217389,0.6804419126355454,0.6948072854429483,0.6945366933941841,0.6969390194863081,0.6925302557647228,2.3958045095205307,0.5286308243576586,0.0097063652498169,0.5217999993028262,0.5449279685839857,0.5165355379038289,0.527817061999788,0.5320735539978652,0.394447499715728,0.0845008576563271,0.4367858344066665,0.2865788176052107,0.3063504270907334,0.5080851235627502,0.4344372959132793,1.0099048394709826,0.6267591639213471,0.6929872613400221,0.6947944518178701,0.7040045913308859,0.6943390518426895,2.263398841023445,0.5033535755636157,0.0226752011380972,0.5467161006690626,0.4912356830949699,0.4816648175217863,0.5022912968099964,0.4948599797222634,0.3911879055107325,0.068866062403271,0.4155287028506992,0.2943755681901046,0.334412201246506,0.4887634927861079,0.4228595624802448,5.2,5.491812087098393,3,1,2,4,16
-725,0.5576230301668769,0.1934051893315709,0.2134938944327203,0.691658594106373,0.7075298390890422,0.7025078905256171,0.4729249326806319,0.6785368209444393,0.197465665533523,0.974495911268169,0.55471459714404,0.4992167787145377,0.5091280583372261,0.8551287592582234,0.6455866199608853,0.1648414787203995,0.9128176363156772,0.5437026061172784,0.5024063244326283,0.5054208922312089,0.7635856407076336,0.8973630331456661,0.2506919897294474,1.3126780055463314,0.7107440009713173,0.6932405177503824,0.7048663720488548,1.0652862694114449,0.5333295149037963,0.0044387938800585,0.5382205559610533,0.536509616601498,0.5283441137835064,0.5276114793550667,0.5359618088178572,0.3787229229878428,0.0694362587366226,0.4221143511433065,0.3911185510636193,0.4772726141460524,0.2865788176052107,0.3165302809810253,0.9093824714422226,0.264020489378541,1.3397207166999578,0.7087657954543829,0.694332068786025,0.7061620485037565,1.0979317277669909,0.5129253001624015,0.0122383970541112,0.4920898114821357,0.5303815030703518,0.5150429379592246,0.5151012675279313,0.512010980772364,0.3856204050334703,0.0773306455075664,0.4384446554473699,0.3808275663743966,0.4962574862617852,0.2726828710286896,0.3398894460551099,6.8,5.2687759489277965,15,4,2,2,11
-700,0.6496950228590714,0.0812246952353567,0.705670282087828,0.7032024628237674,0.6961416495473761,0.6513441568926761,0.4921165629437095,0.6148560490303,0.1265773145001333,0.5222888696419725,0.5098438823862804,0.5350901045565837,0.6649565939739904,0.8421007945926726,0.5892268134289433,0.0924574052371638,0.527675393247078,0.5110202010356547,0.531150140771113,0.6178063306963458,0.7584820013945253,0.7160245608538389,0.0396103486186559,0.6950612086802721,0.694161418825388,0.6925182417035103,0.7035025041550398,0.7948794309049845,0.5267783102035659,0.005365019169738,0.5321688999018991,0.5293010765813349,0.5309843126470086,0.5177720682048699,0.523665193682717,0.4482019076270006,0.0480542673970547,0.3999354253429232,0.4818796569450068,0.3860971818319869,0.4612081684869178,0.5118891055281684,0.7185163788497448,0.0432107361005298,0.6953640095889568,0.692403506487608,0.6952525693923235,0.7050491850823164,0.8045126236975193,0.5143344605886202,0.0195886346375987,0.5340907622662533,0.5406120955642199,0.4896576513895335,0.5042638113883205,0.5030479823347742,0.4441616109679792,0.0449810738285756,0.3847543839442926,0.4771599850530432,0.3940993846961822,0.4765561651312658,0.4882381360151118,5.2,3.370459909270543,2,3,3,7,11
-675,0.574880528787249,0.2362989137443393,0.6938143272148936,0.709820830821991,0.7009370490124351,0.6666667624523765,0.1031636744345489,0.6420571740758962,0.1809552783234856,0.5466718080087695,0.5196938900713161,0.519943000113064,0.6289753606550647,0.995001811531267,0.6241526415410249,0.1692733076422965,0.5280970315508672,0.5163913407313239,0.5179156305218917,0.6015915038767573,0.9567677010242844,0.9534326422959566,0.4473233840414738,0.693744482472539,0.6930176913738251,0.6985132452100515,0.8409822378307581,1.8409055545926096,0.5281195306149236,0.0026521240698771,0.5325691803144394,0.5269455487151977,0.5244053369976417,0.5285621853183501,0.5281154017289893,0.351103066830709,0.0854545279272628,0.3349807915469822,0.3269949826465882,0.2894165480921424,0.2865788176052107,0.5175441942626213,0.913615956529975,0.3760958210406505,0.6938570737838745,0.6930284686386585,0.7014689743518829,0.8200963903218508,1.659628875553608,0.511122183577764,0.0105181970686968,0.5137370423096586,0.5274097611355264,0.4982350171689196,0.515074034432769,0.5011550628419461,0.3493517947784708,0.0754701977639661,0.3453041281107217,0.3433342839243122,0.2957997201611587,0.2726828710286896,0.4896379706674718,6.6,6.916646586316233,4,1,2,6,20
-650,0.4799812524530449,0.2678676203267638,0.6902243294213948,0.1046167150335876,0.7041350383507577,0.6971200058334752,0.2038101736260087,0.7131766901900186,0.2226015215243221,0.5550571383471415,0.9938142993540748,0.511967798561897,0.5284498145446836,0.976594400142296,0.6870202287666041,0.2040193435537475,0.5359313899371175,0.9579255555438534,0.5107314073648677,0.516221701719744,0.9142910892674372,0.926828033849597,0.2924591406335206,0.6971777305006981,1.392241409048438,0.6923733726143837,0.6988601367920637,1.153487520292401,0.5368694921732887,0.0092402391339788,0.5332174106648183,0.5534942122146884,0.5360407303364715,0.5251954397743236,0.5363996678761411,0.4502426764519683,0.0517421881214179,0.398753194349125,0.4942380305395906,0.4239969986425924,0.4057061898057185,0.5285189689228155,0.9382801201194524,0.3004790970498923,0.6987085863947868,1.3989030458033085,0.6953136678785086,0.7016516979783773,1.1968236025422812,0.5042253347678282,0.0176086912766201,0.5101153494080067,0.4888650665776946,0.5028964295606905,0.4849305521677544,0.5343192761249946,0.4361515841829009,0.0385192431286562,0.3862493179891307,0.4549287018194796,0.4218805961945002,0.4179731406597237,0.4997261642516705,8.8,7.138627319029899,4,18,2,3,17
-625,0.6602559715195706,0.0626524759979967,0.7144869365190205,0.6986849627996746,0.6827322903432345,0.5391444905808097,0.6662311773551138,0.6095843869261045,0.1085242147528151,0.4986694685621049,0.5273130870709997,0.5805703493495803,0.8052083245721818,0.6361607050756554,0.5807877117418822,0.081573568071071,0.4935886497010436,0.5266813872654283,0.5593158772690069,0.7293730958120548,0.5949795486618766,0.8587962877005338,0.3222191410860306,0.6927185785025358,0.6934812776744366,0.6999169252812862,1.5031747408211231,0.7046899162232876,0.5285681411167384,0.0170748199406406,0.5443769974378557,0.5499239450850173,0.5083133829568318,0.5300763586138126,0.5101500214901744,0.4077681463050416,0.0695934959539365,0.4968680948084349,0.4277951749739083,0.4443614936671408,0.2906354692432447,0.3791804988324796,0.846955681964755,0.2944707049036917,0.6929630115628242,0.6948008239269257,0.707173578441143,1.4357992224395275,0.7040417734533548,0.5133464150834977,0.0161010420519775,0.5320030568386586,0.5164699962651298,0.4920603160853179,0.4975242023119448,0.5286745039164373,0.3962155973729905,0.0642674983321946,0.4636530941195139,0.4010559547920903,0.428483666829495,0.274753914289744,0.4131313568341089,5.0,3.03315017762062,1,3,5,10,6
-600,0.5543906012765671,0.2357974566582845,0.6937870922841524,0.6966102600097657,0.0865888236972846,0.6145187167744888,0.6804481136171441,0.6757615552371028,0.1742827608806871,0.5371939080236695,0.5331613613867107,0.9961317083199468,0.7229853569170483,0.5893354415381385,0.6507295262922949,0.1669648901858494,0.5319233255117288,0.5292415656237957,0.9690014459588328,0.667305269948526,0.5561760244185907,0.8877173852175474,0.3318367013893429,0.7351333573460579,0.6956876218318939,1.5498648509383202,0.7569468226283789,0.7009542733430862,0.5324730860742664,0.0068370877700707,0.5287875366394468,0.5319000029032017,0.5315349003240535,0.545206422334089,0.5249365681705405,0.3962829844463554,0.0693877765685517,0.2865788176052107,0.4030303411993177,0.4886558931019555,0.360319493691783,0.44283037663351,0.8762902408838272,0.3147699689785598,0.7269871681928635,0.6936781015247107,1.504688821732998,0.7495671007782221,0.706530012190342,0.5116682333748906,0.0155012698330509,0.498936865882266,0.534180380444057,0.5106050843158483,0.4916021980971865,0.5230166381350954,0.4185546053415926,0.076013306950802,0.2920138538372269,0.4682657204770895,0.4904784792809053,0.3699130616465327,0.472101911466209,8.0,5.692099788303083,4,4,19,8,5
-575,0.5766333175450564,0.2506077226549635,0.0756891706076107,0.7001442401032699,0.715567536103098,0.7021102579016435,0.6896553830096596,0.6190351615866946,0.1897474122013282,0.9970176213258388,0.5193202288578324,0.5088122036169601,0.5133564063207166,0.5566693478121253,0.6084035729339947,0.1826845551843746,0.9728239756552424,0.5104425976414372,0.5036614342129644,0.5130105803415131,0.5420792768188166,1.0632135201245547,0.7362956218166874,2.535802934318781,0.6944966670125723,0.6932402420789003,0.6965861190110445,0.6959416382014751,0.5337803327744467,0.0142522633665316,0.5525999592861774,0.5365094337888607,0.5208101304534283,0.5444741777494413,0.5145079625943259,0.4098428435027372,0.0684854574918728,0.4810315230343725,0.399439382479687,0.2933117654950735,0.3980803296609279,0.4773512168436249,1.1503419764339924,0.9033898571418284,2.957098066806793,0.6949990168213844,0.6932819914072752,0.6997168958187103,0.7066139113157988,0.5074846877258277,0.0165334508557703,0.4775467880526202,0.5217147448158792,0.5094387794398415,0.5051528358199974,0.5235702905008003,0.4105215589589333,0.0546343926466826,0.4500714804910569,0.3861013035978348,0.3239305167830428,0.4094238175969478,0.483080676325784,7.2,8.997777503361595,25,3,1,2,5
